IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt0088161,Splash,1984,PG,09 Mar 1984,111 min,"Comedy, Fantasy, Romance",Ron Howard,"Brian Grazer, Bruce Jay Friedman, Lowell Ganz","Tom Hanks, Daryl Hannah, Eugene Levy","English, Swedish",United States,6.3,,71/100,movie
tt2930604,Star Wars: Rebels,2014–2018,TV-Y7-FV,26 Sep 2014,22 min,"Animation, Action, Adventure",N/A,"Simon Kinberg, Carrie Beck, Dave Filoni","Dave Filoni, Taylor Gray, Vanessa Marshall",English,United States,8.0,,,series
tt8336340,Star Wars: Resistance,2018–2020,TV-Y7,07 Oct 2018,30 min,"Animation, Action, Adventure",N/A,"Carrie Beck, Dave Filoni, Kiri Hart","Christopher Sean, Scott Lawrence, Josh Brener",English,United States,5.0,,,series
tt0076759,Star Wars,1977,PG,25 May 1977,121 min,"Action, Adventure, Fantasy",George Lucas,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",English,"United States, United Kingdom",8.6,92%,90/100,movie
tt11281500,Star Wars Blips,2017,N/A,03 May 2017,1 min,"Animation, Comedy",N/A,N/A,N/A,English,United States,6.1,,,series
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,19 May 2005,140 min,"Action, Adventure, Fantasy",George Lucas,George Lucas,"Hayden Christensen, Natalie Portman, Ewan McGregor",English,United States,7.5,80%,68/100,movie
tt0458290,Star Wars: The Clone Wars,2008–2020,TV-PG,03 Oct 2008,23 min,"Animation, Action, Adventure",N/A,George Lucas,"Tom Kane, Dee Bradley Baker, Matt Lanter",English,United States,8.3,,,series
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,PG,19 May 1999,136 min,"Action, Adventure, Fantasy",George Lucas,George Lucas,"Ewan McGregor, Liam Neeson, Natalie Portman","English, Sanskrit",United States,6.5,,51/100,movie
tt0019422,Steamboat Willie,1928,TV-Y7,01 Jan 1929,8 min,"Animation, Short, Comedy","Ub Iwerks, Walt Disney","Walt Disney, Ub Iwerks",Walt Disney,English,United States,7.6,,,movie
tt0250754,Stepsister from Planet Weird,2000,TV-G,17 Jun 2000,85 min,"Comedy, Family, Sci-Fi",Steve Boyum,"Francess Lantz (book), Chris Matheson (teleplay)","Courtnee Draper, Tamara Hope, Lance Guest, Khrystyne Haje",English,United States,5.9,,,movie
tt1245537,Stonehenge: Decoded,2008,PG,01 May 2008,92 min,"Documentary, History",Christopher Spencer,"Colin Swash, Christopher Spencer","Donald Sutherland, Stoyan Aleksiev, Bogomil Atanasov, Fahradin Fahradinov",English,United Kingdom,6.5,,,movie
tt0033124,Swiss Family Robinson,1940,N/A,08 Feb 1940,93 min,Adventure,Edward Ludwig,"C. Graham Baker, Walter Ferris, Gene Towne","Thomas Mitchell, Edna Best, Freddie Bartholomew",English,United States,6.4,,,movie
tt0098924,TaleSpin,1990–1991,TV-Y7,07 Sep 1990,30 min,"Animation, Action, Adventure",N/A,N/A,"Ed Gilbert, R.J. Williams, Sally Struthers",English,United States,7.6,,,series
tt0257325,Teacher's Pet,2000–2005,TV-Y,01 Sep 2000,30 min,"Animation, Short, Adventure",N/A,"Gary Baseman, Bill Steinkellner, Cheri Steinkellner","Shaun Fleming, Nathan Lane, David Ogden Stiers",English,United States,6.4,,,series
tt2325989,Teen Beach Movie,2013,Not Rated,19 Jul 2013,110 min,"Family, Fantasy, Musical",Jeffrey Hornaday,"Vince Marcello (story by), Mark Landry (story by), Vince Marcello (teleplay by), Mark Landry (teleplay by), Robert Horn (teleplay by)","Ross Lynch, Maia Mitchell, Gracie Gillam, Garrett Clayton",English,United States,5.9,86%,,movie
tt0120317,That Darn Cat,1997,PG,14 Feb 1997,89 min,"Action, Comedy, Crime",Bob Spiers,"Gordon Gordon, Mildred Gordon, Bill Walsh","Christina Ricci, Doug E. Doug, Dean Jones",English,United States,4.7,13%,36/100,movie
tt0059793,That Darn Cat!,1965,Approved,02 Dec 1965,116 min,"Comedy, Crime, Family",Robert Stevenson,"Gordon Gordon, Mildred Gordon, Bill Walsh","Hayley Mills, Dean Jones, Dorothy Provine","English, French",United States,6.8,94%,71/100,movie
tt0300865,That's So Raven,2003–2007,TV-G,17 Jan 2003,30 min,"Comedy, Family, Fantasy",N/A,"Michael Poryes, Susan Sherman","Raven-Symoné, Orlando Brown, Anneliese van der Pol",English,United States,6.6,,,series
tt1626038,The Avengers: Earth's Mightiest Heroes,2010–2012,TV-Y7,22 Sep 2010,30 min,"Animation, Action, Adventure",N/A,N/A,"Eric Loomis, Colleen O'Shaughnessey, Brian Bloom",English,United States,8.3,,,series
tt0026094,The Band Concert,1935,Approved,23 Feb 1935,9 min,"Animation, Short, Comedy",Wilfred Jackson,N/A,Clarence Nash,English,United States,7.9,,,movie
tt0071199,The Bears and I,1974,G,31 Jul 1974,89 min,"Drama, Family",Bernard McEveety,"John Whedon, Robert Franklin Leslie, Jack Speirs","Patrick Wayne, Chief Dan George, Andrew Duggan",English,United States,6.2,,,movie
tt0068276,The Biscuit Eater,1972,G,22 Mar 1972,90 min,"Drama, Family",Vincent McEveety,"James Street, Lawrence Edward Watkin","Earl Holliman, Pat Crowley, Lew Ayres",English,United States,5.8,,,movie
tt0078869,The Black Hole,1979,PG,21 Dec 1979,98 min,"Action, Sci-Fi",Gary Nelson,"Jeb Rosebrook, Bob Barbash, Richard H. Landau","Maximilian Schell, Anthony Perkins, Robert Forster",English,United States,6.0,38%,52/100,movie
tt0072728,The Boy Who Talked to Badgers,1975,N/A,14 Sep 1975,89 min,"Adventure, Family",Gary Nelson,"Sheldon Stark, Allan Eckert","Christian Juttner, Carl Betz, Salome Jens",English,United States,5.9,,,movie
tt0800318,The Cheetah Girls 2,2006,TV-G,25 Aug 2006,96 min,"Comedy, Drama, Family, Music, Musical",Kenny Ortega,"Bethesda Brown, Alison Taylor, Deborah Gregory (series of books)","Raven-Symoné, Adrienne Houghton, Sabrina Bryan, Kiely Williams","English, Spanish",United States,5.1,,,movie
tt0090840,The Christmas Star,1986,TV-G,14 Dec 1986,94 min,"Drama, Family",Alan Shapiro,"Alan Shapiro, Carol Dysinger","Edward Asner, Rene Auberjonois, Jim Metzler",English,"Canada, United States",6.3,,,movie
tt0499448,The Chronicles of Narnia: Prince Caspian,2008,PG,16 May 2008,150 min,"Action, Adventure, Family",Andrew Adamson,"Andrew Adamson, Christopher Markus, Stephen McFeely","Ben Barnes, Skandar Keynes, Georgie Henley",English,"United States, Poland, Slovenia, Czech Republic, United Kingdom",6.5,66%,62/100,movie
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,09 Dec 2005,143 min,"Adventure, Family, Fantasy",Andrew Adamson,"Ann Peacock, Andrew Adamson, Christopher Markus","Tilda Swinton, Georgie Henley, William Moseley","English, German, Brazilian Sign ","United Kingdom, United States",6.9,,75/100,movie
tt2025690,The Finest Hours,2016,PG-13,29 Jan 2016,117 min,"Action, Drama, History",Craig Gillespie,"Scott Silver, Paul Tamasy, Eric Johnson","Chris Pine, Casey Affleck, Ben Foster",English,United States,6.8,63%,58/100,movie
tt0025184,The Goddess of Spring,1934,Approved,03 Nov 1934,10 min,"Animation, Short, Family",Wilfred Jackson,William Cottrell,"Kenny Baker, Diana Gaylen, Tudor Williams",English,United States,6.7,,,movie
tt0082474,The Great Muppet Caper,1981,G,26 Jun 1981,97 min,"Adventure, Comedy, Crime",Jim Henson,"Tom Patchett, Jay Tarses, Jerry Juhl","Jim Henson, Frank Oz, Dave Goelz",English,"United Kingdom, United States",7.2,74%,70/100,movie
tt0116583,The Hunchback of Notre Dame,1996,G,21 Jun 1996,91 min,"Animation, Drama, Family","Gary Trousdale, Kirk Wise","Tab Murphy, Victor Hugo, Irene Mecchi","Demi Moore, Jason Alexander, Mary Kay Bergman","English, Latin","United States, France",7.0,71%,74/100,movie
tt0257778,The Hunchback of Notre Dame 2: The Secret of the Bell,2002,G,19 Mar 2002,68 min,"Animation, Adventure, Comedy, Drama, Family, Musical, Romance",Bradley Raymond,"Jule Selbo (screenplay by), Flip Kobler (screenplay by), Cindy Marcus (screenplay by)","Jason Alexander, Jennifer Love Hewitt, Tom Hulce, Paul Kandel",English,"USA, Japan",4.7,30%,,movie
tt6001956,Blue Ribbon Kids,2016,N/A,13 Aug 2016,N/A,"Documentary, Reality-TV",N/A,N/A,"Ciara Allen, Gary Amos, Linda Amos",N/A,N/A,N/A,,,episode
tt0144262,The Jungle Book: Mowgli's Story,1998,G,28 Sep 1998,77 min,"Adventure, Family",Nick Marck,"Rudyard Kipling (book), Jose Rivera (teleplay), Jim Herzfeld (teleplay)","Brandon Baker, Sherman Howard, Clancy Brown, Peri Gilpin",English,United States,4.2,,,movie
tt2565938,The Legend of Mor'du,2012,TV-PG,05 Dec 2012,7 min,"Animation, Short, Family, Fantasy",Brian Larsen,"Steve Purcell, Brian Larsen","Julie Walters, Steve Purcell, Callum O'Neill",English,United States,6.2,,,movie
tt0120131,The Lion King 2: Simba's Pride,1998,G,27 Oct 1998,81 min,"Animation, Adventure, Drama, Family, Musical, Romance","Darrell Rooney, Rob LaDuca(co-director)","Flip Kobler (screenplay), Cindy Marcus (screenplay), Jenny Wingfield (additional written material), Linda Voorhees (additional written material), Gregory Poirier (additional written material), Bill Motz (additional written material), Bob Roth (additional written material), Mark McCorkle (additional written material), Bob Schooley (additional written material), Jonathan Cuba (additional written material)","Matthew Broderick, Neve Campbell, Andy Dick, Robert Guillaume",English,"USA, Australia",6.5,62%,,movie
tt0969647,The Little Mermaid: Ariel's Beginning,2008,G,25 Aug 2008,77 min,"Animation, Drama, Family, Fantasy, Musical",Peggy Holmes,"Robert Reece (screenplay), Evan Spiliotopoulos (screenplay), Jule Selbo (story), Jenny Wingfield (story), Steve Bencich (additional screenplay material), Peggy Holmes (additional screenplay material), Tom Rogers (additional screenplay material), Thania St. John (additional screenplay material), Rich Burns (additional screenplay material), Ron J. Friedman (additional screenplay material)","Jodi Benson, Samuel E. Wright, Jim Cummings, Sally Field",English,United States,6.2,33%,,movie
tt0306841,The Lizzie McGuire Movie,2003,PG,02 May 2003,94 min,"Adventure, Comedy, Family",Jim Fall,"Susan Estelle Jansen, Ed Decter, John J. Strauss","Hilary Duff, Adam Lamberg, Clayton Snyder","English, Italian",United States,5.5,40%,56/100,movie
tt0064603,The Love Bug,1968,G,13 Mar 1969,108 min,"Comedy, Family, Sport",Robert Stevenson,"Bill Walsh, Don DaGradi, Gordon Buford","Dean Jones, Michele Lee, David Tomlinson","English, Cantonese, Spanish",United States,6.5,76%,48/100,movie
tt2490352,The Mistle-Tones,2012,TV-PG,09 Dec 2012,90 min,"Comedy, Family, Music",Paul Hoen,"Jed Elinoff, Scott Thomas","Tia Mowry-Hardrict, Jonathan Patrick Moore, Andy Gala, Megan Kathleen Duffy",English,United States,6.6,,,movie
tt0079588,The Muppet Movie,1979,G,22 Jun 1979,95 min,"Adventure, Comedy, Family",James Frawley,"Jerry Juhl, Jack Burns","Jim Henson, Frank Oz, Jerry Nelson",English,"United Kingdom, United States",7.6,88%,74/100,movie
tt0165052,The New Adventures of Winnie the Pooh,1988–1991,TV-Y,17 Jan 1988,30 min,"Animation, Adventure, Comedy",N/A,N/A,"John Fiedler, Jim Cummings, Ken Sansom",English,United States,7.7,,,series
tt0046125,The New Neighbor,1953,N/A,01 Aug 1953,7 min,"Family, Comedy, Animation","Jack Hannah, David Hand","Nick George, Milt Schaffer","Pinto Colvig, Billy Bletcher, Clarence Nash",English,United States,7.2,,,movie
tt1462769,The Odd Life of Timothy Green,2012,PG,15 Aug 2012,105 min,"Comedy, Drama, Family",Peter Hedges,"Peter Hedges, Ahmet Zappa","Jennifer Garner, Joel Edgerton, CJ Adams",English,United States,6.6,36%,47/100,movie
tt0219222,The Olympic Elk,1952,Approved,13 Feb 1952,27 min,"Documentary, Short",James Algar,"Winston Hibler, Ted Sears, James Algar",Winston Hibler,English,United States,7.2,,,movie
tt0246834,The Other Me,2000,TV-G,08 Sep 2000,90 min,"Comedy, Family, Sci-Fi",Manny Coto,"Mary C. Ryan (book), Jeff Schechter (teleplay)","Andrew Lawrence, Mark L. Taylor, Lori Hallier, Alison Pill",English,United States,6.1,,,movie
tt0024451,The Pied Piper,1933,N/A,16 Sep 1933,8 min,"Animation, Short, Family",Wilfred Jackson,"Robert Browning, Ted Sears, Webb Smith","Marion Darlington, George Gramlich, Harriette Haddon",English,United States,6.7,,,movie
tt0561332,The Plausible Impossible,1956,Not Rated,31 Oct 1956,50 min,"Adventure, Drama, Family","William Beaudine, Wilfred Jackson",Dick Huemer,"Walt Disney, Leopold Stokowski, Clarence Nash",English,United States,7.4,,,episode
tt0274728,The Poof Point,2001,TV-G,14 Sep 2001,90 min,"Comedy, Family, Sci-Fi",Neal Israel,"Ellen Weiss (novel), Mel Friedman (novel), Stu Krieger (teleplay)","Tahj Mowry, Dawnn Lewis, Mark Curry, Raquel Lee",English,United States,4.6,,,movie
tt1836776,The Prince and the Pauper,1962,TV-PG,07 May 1962,93 min,Adventure,Don Chaffey,"Mark Twain, Jack Whittingham","Guy Williams, Laurence Naismith, Donald Houston",English,United Kingdom,6.3,,,movie
tt0780521,The Princess and the Frog,2009,G,11 Dec 2009,97 min,"Animation, Adventure, Comedy","Ron Clements, John Musker","Ron Clements, John Musker, Greg Erb","Anika Noni Rose, Keith David, Oprah Winfrey","English, French",United States,7.1,85%,73/100,movie
tt0247638,The Princess Diaries,2001,G,03 Aug 2001,115 min,"Comedy, Family, Romance",Garry Marshall,"Meg Cabot, Gina Wendkos","Julie Andrews, Anne Hathaway, Hector Elizondo","English, Dutch, Italian","United States, United Kingdom",6.4,48%,52/100,movie
tt0368933,The Princess Diaries 2: Royal Engagement,2004,G,11 Aug 2004,113 min,"Comedy, Family, Romance",Garry Marshall,"Meg Cabot, Gina Wendkos, Shonda Rhimes","Anne Hathaway, Callum Blue, Julie Andrews","English, Greek, French, Spanish",United States,5.8,26%,43/100,movie
tt0448090,The Proud Family Movie,2005,TV-G,19 Aug 2005,90 min,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",Bruce W. Smith,"Ralph Farquhar (screenplay), Calvin Brown Jr. (screenplay), John Patrick White (screenplay), Stiles White (screenplay)","Kyla Pratt, Tommy Davidson, Paula Jai Parker, Jo Marie Payton",English,United States,5.4,,,movie
tt0100477,The Rescuers Down Under,1990,G,16 Nov 1990,77 min,"Animation, Adventure, Crime","Hendel Butoy, Mike Gabriel","Jim Cox, Karey Kirkpatrick, Byron Simpson","Bob Newhart, Eva Gabor, John Candy",English,United States,6.9,70%,70/100,movie
tt0102803,The Rocketeer,1991,PG,21 Jun 1991,108 min,"Action, Adventure, Family",Joe Johnston,"Dave Stevens, Danny Bilson, Paul De Meo","Billy Campbell, Jennifer Connelly, Alan Arkin","English, German",United States,6.5,66%,61/100,movie
tt0265662,The Rookie,2002,G,29 Mar 2002,127 min,"Drama, Family, Sport",John Lee Hancock,Mike Rich,"Dennis Quaid, J.D. Evermore, Rachel Griffiths",English,United States,6.9,84%,72/100,movie
tt0817307,The Sandlot: Heading Home,2007,PG,01 May 2007,96 min,"Family, Sport",William Dear,"Keith Mitchell, Allie Dvorin, David Mickey Evans (based upon characters created by), Robert Gunter (based upon characters created by)","Danny Nucci, Luke Perry, Keanu Pires, Sarah Deakins",English,"USA, Canada",5.0,,,movie
tt0313634,The Scream Team,2002,TV-PG,11 Oct 2002,100 min,"Comedy, Family, Fantasy, Horror",Stuart Gillard,"Robert Short (story), Dan Berendsen (story), Dan Berendsen (teleplay)","Mark Rendall, Kat Dennings, Robert Bockstael, Eric Idle",English,United States,6.5,,,movie
tt0496386,Bao hu lu de mi mi,2007,G,18 Jul 2008,84 min,"Drama, Family",Frankie Chung,Tianyi Zhang,"Corbin Bleu, Peisi Chen, Aaron Michael Drozin","Mandarin, English","China, Hong Kong, United States",5.2,,,movie
tt0096697,The Simpsons,1989–,TV-PG,17 Dec 1989,22 min,"Animation, Comedy",N/A,"James L. Brooks, Matt Groening, Sam Simon","Dan Castellaneta, Nancy Cartwright, Harry Shearer","English, Spanish, Albanian, French, Japanese, German, Russian, Hindi, Swahili, Italian, Swedish, Turkish, Cantonese, Mandarin, Hebrew, Arabic, Klingon, Bengali, Czech, Chinese",United States,8.7,89%,,series
tt0078281,The Small One,1978,G,16 Dec 1978,26 min,"Animation, Short, Family","Don Bluth, Jack Cutting, Wolfgang Reitherman","Vance Gerry, Peter Young, Charles Tazewell","Sean Marshall, William Woodson, Olan Soule",English,United States,7.7,,,movie
tt1754799,The Suite Life Movie,2011,Not Rated,25 Mar 2011,79 min,"Adventure, Comedy, Crime, Drama, Family, Sci-Fi",Sean McNamara,"Danny Kallis (characters), Jim Geoghan (characters), Michael Saltzman, Robert Horn","Cole Sprouse, Dylan Sprouse, Brenda Song, Debby Ryan",English,United States,5.3,,,movie
tt0426371,The Suite Life of Zack & Cody,2005–2008,TV-G,18 Mar 2005,30 min,"Comedy, Family",N/A,"Jim Geoghan, Danny Kallis","Cole Sprouse, Dylan Sprouse, Brenda Song",English,United States,6.5,,,series
tt1181917,The Suite Life on Deck,2008–2011,TV-G,26 Sep 2008,30 min,"Action, Adventure, Comedy",N/A,"Jim Geoghan, Danny Kallis, Pamela Eells","Dylan Sprouse, Cole Sprouse, Brenda Song",English,United States,6.4,,,series
tt1388589,The Super Hero Squad Show,2009–2011,TV-Y7,14 Sep 2009,N/A,"Animation, Action, Comedy",N/A,N/A,"Tom Kenny, David Boat, Steve Blum",English,United States,6.1,,,series
tt5653444,The Swap,2016,TV-G,07 Oct 2016,100 min,"Comedy, Family, Fantasy",Jay Karas,"Charlie Shahnaian, Shari Simpson","Peyton List, Jacob Bertrand, Claire Rankin, Darrin Rose",English,United States,6.1,,,movie
tt0057546,The Sword in the Stone,1963,G,21 Jun 1964,79 min,"Animation, Adventure, Comedy","Wolfgang Reitherman, Clyde Geronimi, David Hand","Bill Peet, T.H. White","Rickie Sorensen, Sebastian Cabot, Karl Swenson",English,United States,7.2,66%,61/100,movie
tt0200208,The Thirteenth Year,1999,TV-G,15 May 1999,95 min,"Comedy, Family, Fantasy",Duwayne Dunham,"Jenny Arata (story), Robert L. Baird (teleplay), Kelly Senecal (teleplay), Jenny Arata (teleplay)","Chez Starbuck, Justin Jon Ross, Courtnee Draper, Brent Briscoe",English,United States,6.0,,,movie
tt0038166,The Three Caballeros,1944,Approved,22 Feb 1945,71 min,"Animation, Comedy, Family","Norman Ferguson, Clyde Geronimi, Jack Kinney","Homer Brightman, Ernest Terrazas, Ted Sears","Aurora Miranda, Carmen Molina, Dora Luz","English, Spanish, Portuguese","United States, Mexico",6.4,82%,85/100,movie
tt0220099,The Tigger Movie,2000,G,11 Feb 2000,77 min,"Animation, Adventure, Comedy",Jun Falkenstein,"Eddie Guzelian, Jun Falkenstein, A.A. Milne","Jim Cummings, Nikita Hopkins, Ken Sansom",English,"United States, Japan",6.4,62%,53/100,movie
tt0032071,Ugly Duckling,1939,Approved,07 Apr 1939,9 min,"Animation, Short, Comedy","Jack Cutting, Clyde Geronimi","Hans Christian Andersen, Vernon Stallings",Clarence Nash,None,United States,7.6,,,movie
tt0047642,The Vanishing Prairie,1954,Approved,13 May 1955,71 min,"Documentary, Family",James Algar,"James Algar (screenplay), Winston Hibler (screenplay), Ted Sears (screenplay)",Winston Hibler,English,United States,7.4,,,movie
tt2448374,The Wizards Return: Alex vs. Alex,2013,TV-G,15 Mar 2013,60 min,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Romance",Victor Gonzalez,"Todd J. Greenwald (based on the series created by), Ben Montanio, Vince Cheung, Dan Berendsen","Selena Gomez, Jake T. Austin, Jennifer Stone, Gregg Sulkin","English, Italian",United States,6.5,,,movie
tt10196390,The World According to Jeff Goldblum,2019–,TV-PG,12 Nov 2019,30 min,"Documentary, Comedy",N/A,N/A,"Jeff Goldblum, Miranda Barrie, Paul Francis",N/A,United States,7.8,,,series
tt0318850,The Young Black Stallion,2003,G,25 Dec 2003,50 min,"Adventure, Family, Drama",Simon Wincer,"Walter Farley, Steven Farley, Jeanne Rosenberg","Biana Tamimi, Richard Romanus, Patrick Elyas",English,United States,5.6,45%,51/100,movie
tt0024660,Three Little Pigs,1933,Passed,27 May 1933,9 min,"Animation, Short, Comedy",Burt Gillett,"Pinto Colvig, Albert Hunter, Boris V. Morkovin","Billy Bletcher, Pinto Colvig, Dorothy Compton",English,United States,7.5,,,movie
tt0094137,3 Men and a Baby,1987,PG,25 Nov 1987,102 min,"Comedy, Drama, Family",Leonard Nimoy,"Coline Serreau, James Orr, Jim Cruickshank","Tom Selleck, Steve Guttenberg, Ted Danson",English,"United States, France",6.1,76%,61/100,movie
tt0111419,Thumbelina,1994,G,30 Mar 1994,86 min,"Animation, Family, Fantasy","Don Bluth, Gary Goldman","Hans Christian Andersen, Don Bluth","Jodi Benson, Gary Imhoff, Gino Conforti",English,"Ireland, United States, Canada, United Kingdom, Denmark, Spain, Poland, Hungary",6.3,27%,,movie
